INSTNM,CITY,STATE,ZIP,URL,TUITIONFEE_IN,TUITIONFEE_OUT
University of Illinois-Urbana-Champaign,Champaign,IL,61820-5711,www.illinois.edu/,15442,32892
Northwestern University,Evanston,IL,60208,www.northwestern.edu/,60768,60768
Indiana University-Bloomington,Bloomington,IN,47405-7000,www.indiana.edu/,11333,38352
University of Iowa,Iowa City,IA,52242-1316,www.uiowa.edu/,9942,31905
University of Maryland,College Park,MD,20742,www.umd.edu/,10955,38636
University of Michigan,Ann Arbor,MI,48109,https://umich.edu/,16178,53232
Michigan State University,East Lansing,MI,48824-1046,https://www.msu.edu/,14750,40562
University of Minnesota,Minneapolis,MN,55455-0213,https://twin-cities.umn.edu/,15254,33818
University of Nebraska,Lincoln,NE,68588-0419,www.unl.edu/,9872,27002
Rutgers at New Brunswick,New Brunswick,NJ,08901-1281,https://newbrunswick.rutgers.edu/,15804,33005
Ohio State University,Columbus,OH,43210,www.osu.edu/,11936,35019
University of Wisconsin-Madison,Madison,WI,53706-1380,www.wisc.edu/,10720,38608
Purdue University,West Lafayette,IN,47907-2040,https://www.purdue.edu/,9992,28794
Pennsylvania State University. Main Campus, Centre County,PA,16802-1503,https://www.psu.edu/,18898,36476